Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs,Predictor,delAIC
TA_min,"poly(Predictor_Values, degree = 2)1",-2.8605861456966784,1.0415967048830033,-2.746347153640422,0.0149959911760868,0.34380780666672167,0.2563155142222845,1.0415967048830033,3.929578218390613,0.04243585383345704,2,-24.633586507681393,57.267173015362786,60.82866004694745,16.273855434346952,15,18,Min TA,2.1474102996420186
TA_min,"poly(Predictor_Values, degree = 2)2",0.5862012870347737,1.0415967048830035,0.5627910344633994,0.5818919300122958,0.34380780666672167,0.2563155142222845,1.0415967048830033,3.929578218390613,0.04243585383345704,2,-24.633586507681393,57.267173015362786,60.82866004694745,16.273855434346952,15,18,Min TA,2.1474102996420186
temp_avg,(Intercept),2.228606748908623,0.2475045530774298,9.004306067094538,1.9495054943820137e-7,0.33308458623598436,0.244162531067449,1.0500728871335783,3.7458039583620026,0.0479215285414319,2,-24.77947199194116,57.55894398388232,61.12043101546698,16.53979602439573,15,18,Mean Temperature,2.439181268161555
temp_avg,"poly(Predictor_Values, degree = 2)1",1.381588318502644,1.0500728871335783,1.3157070670341897,0.208027857054249,0.33308458623598436,0.244162531067449,1.0500728871335783,3.7458039583620026,0.0479215285414319,2,-24.77947199194116,57.55894398388232,61.12043101546698,16.53979602439573,15,18,Mean Temperature,2.439181268161555
temp_avg,"poly(Predictor_Values, degree = 2)2",-2.520289303631875,1.050072887133578,-2.4001089205451254,0.029818580769410515,0.33308458623598436,0.244162531067449,1.0500728871335783,3.7458039583620026,0.0479215285414319,2,-24.77947199194116,57.55894398388232,61.12043101546698,16.53979602439573,15,18,Mean Temperature,2.439181268161555
temp_max,(Intercept),-17.167875841509783,10.13592228682114,-1.6937655356564525,0.10968405221067105,0.18635137966585655,0.1354983408949726,1.123021710064247,3.66450824119782,0.07364098840257387,1,-26.56926041668506,59.13852083337012,61.809636107058616,20.17884418041001,16,18,Max Temperature,3.4952245217193223
temp_max,Predictor_Values,0.6580283588290762,0.3437452924741162,1.9142905320765236,0.07364098840257391,0.18635137966585655,0.1354983408949726,1.123021710064247,3.66450824119782,0.07364098840257387,1,-26.56926041668506,59.13852083337012,61.809636107058616,20.17884418041001,16,18,Max Temperature,3.4952245217193223
TA_avg,(Intercept),76.8309267330368,41.82149032553552,1.8371159452948784,0.08483873068015906,0.16589211247494431,0.11376036950462831,1.1370532919197087,3.1821708430006628,0.09342119543284282,1,-26.79276779438886,59.58553558877772,62.25665086246621,20.68624301864714,16,18,Mean TA,3.942239277126916
TA_avg,Predictor_Values,-0.032258298857204874,0.01808338443385133,-1.783864020322363,0.09342119543284268,0.16589211247494431,0.11376036950462831,1.1370532919197087,3.1821708430006628,0.09342119543284282,1,-26.79276779438886,59.58553558877772,62.25665086246621,20.68624301864714,16,18,Mean TA,3.942239277126916
pH_avg,(Intercept),159.83396309366674,99.78369750195147,1.6018043738110714,0.12875511303914344,0.13488935652840953,0.0808199413114351,1.1579919317028389,2.4947441356100097,0.13379107477956526,1,-27.121219687108706,60.24243937421741,62.913554647905904,21.45512502222196,16,18,pH_avg,4.599143062566611
pH_avg,Predictor_Values,-19.746240943568093,12.501767755094981,-1.5794759053591196,0.13379107477956517,0.13488935652840953,0.0808199413114351,1.1579919317028389,2.4947441356100097,0.13379107477956526,1,-27.121219687108706,60.24243937421741,62.913554647905904,21.45512502222196,16,18,pH_avg,4.599143062566611
TA_max,(Intercept),2.228606748908623,0.26554739267033817,8.392500963755689,4.7504886021465144e-7,0.23230545809180214,0.12994618583737583,1.1266221725016181,2.2695106459371726,0.1376934865225529,2,-26.046030293859957,60.092060587719914,63.653547619304575,19.039162793583984,15,18,Max TA,4.972297871999146
TA_max,"poly(Predictor_Values, degree = 2)1",0.4111869690350336,1.1266221725016183,0.36497326172980404,0.7202260872395039,0.23230545809180214,0.12994618583737583,1.1266221725016181,2.2695106459371726,0.1376934865225529,2,-26.046030293859957,60.092060587719914,63.653547619304575,19.039162793583984,15,18,Max TA,4.972297871999146
TA_max,"poly(Predictor_Values, degree = 2)2",-2.3647839146805256,1.1266221725016181,-2.0990035278904733,0.05315481335397967,0.23230545809180214,0.12994618583737583,1.1266221725016181,2.2695106459371726,0.1376934865225529,2,-26.046030293859957,60.092060587719914,63.653547619304575,19.039162793583984,15,18,Max TA,4.972297871999146
sal_avg,(Intercept),162.1153795036434,132.3268804143319,1.2251129853287557,0.23826281225287568,0.08361582516325897,0.026341814235962602,1.1918140371156396,1.4599261307087605,0.2444976055224939,1,-27.63942412891993,61.27884825783986,63.949963531528354,22.72673118505407,16,18,Mean Salinity,5.635551946189061
sal_avg,Predictor_Values,-4.398453272459266,3.6402779208622986,-1.2082740296425973,0.244497605522494,0.08361582516325897,0.026341814235962602,1.1918140371156396,1.4599261307087605,0.2444976055224939,1,-27.63942412891993,61.27884825783986,63.949963531528354,22.72673118505407,16,18,Mean Salinity,5.635551946189061
temp_avg,(Intercept),-16.578208153970753,16.2847197547247,-1.0180223180789403,0.32381496487488526,0.07696582177019763,0.019276185630834997,1.1961305896096002,1.33413602374383,0.2650300156584536,1,-27.70449936445917,61.40899872891834,64.08011400260683,22.891654198396953,16,18,Mean Temperature,5.765702417267541
temp_avg,Predictor_Values,0.6663645441395614,0.5769149929846139,1.1550480612268177,0.2650300156584535,0.07696582177019763,0.019276185630834997,1.1961305896096002,1.33413602374383,0.2650300156584536,1,-27.70449936445917,61.40899872891834,64.08011400260683,22.891654198396953,16,18,Mean Temperature,5.765702417267541
sal_min,(Intercept),50.084175521970735,48.629737633427666,1.0299084050073777,0.3183713897909263,0.05707342266678946,-0.0018594884165361591,1.208950848317711,0.9684473686713515,0.3397160062849196,1,-27.89639876445564,61.79279752891128,64.46391280259976,23.38499445836981,16,18,Min Salinity,6.149501217260479
sal_min,Predictor_Values,-1.3287881990484027,1.3502610832383777,-0.9840972353743057,0.3397160062849196,0.05707342266678946,-0.0018594884165361591,1.208950848317711,0.9684473686713515,0.3397160062849196,1,-27.89639876445564,61.79279752891128,64.46391280259976,23.38499445836981,16,18,Min Salinity,6.149501217260479
phos_min,(Intercept),5.070870184338595,1.4002708339920373,3.621349571269747,0.002293405226733778,0.20075124280979534,0.15079819548540752,1.210850598715937,4.0187987232519795,0.062220838679507166,1,-27.924661838879004,61.84932367775801,64.5204389514465,23.45854675857189,16,18,Min Phosphate,6.206027366107207
phos_min,Predictor_Values,-18.390805262604527,9.1738707676563,-2.0046941720003026,0.062220838679507194,0.20075124280979534,0.15079819548540752,1.210850598715937,4.0187987232519795,0.062220838679507166,1,-27.924661838879004,61.84932367775801,64.5204389514465,23.45854675857189,16,18,Min Phosphate,6.206027366107207
temp_min,(Intercept),20.41510631999152,19.258653482132942,1.060048478411612,0.30486338896029086,0.05280342003814787,-0.00639636620946793,1.2116850974059796,0.891952883364921,0.3589930953977909,1,-27.937062875560486,61.87412575112097,64.54524102480946,23.490892404411813,16,18,Min Temperature,6.23082943947017
temp_min,Predictor_Values,-0.6776875939954292,0.7175605903155113,-0.9444325721643242,0.3589930953977909,0.05280342003814787,-0.00639636620946793,1.2116850974059796,0.891952883364921,0.3589930953977909,1,-27.937062875560486,61.87412575112097,64.54524102480946,23.490892404411813,16,18,Min Temperature,6.23082943947017
phos_min,(Intercept),2.3226800487094454,0.2756002603974855,8.427713549180076,4.5077524651601547e-7,0.30127887057834496,0.20811605332212424,1.1692728781430415,3.2338960912888015,0.06796402239594036,2,-26.714877097521224,61.42975419504245,64.99124122662711,20.50798595341368,15,18,Min Phosphate,6.309991479321681
phos_min,"poly(Predictor_Values, degree = 2)1",-2.427385138408917,1.1692728781430415,-2.075978314201491,0.05550363321848743,0.30127887057834496,0.20811605332212424,1.1692728781430415,3.2338960912888015,0.06796402239594036,2,-26.714877097521224,61.42975419504245,64.99124122662711,20.50798595341368,15,18,Min Phosphate,6.309991479321681
phos_min,"poly(Predictor_Values, degree = 2)2",-1.7177196526669347,1.1692728781430415,-1.4690494278759794,0.16247868247521843,0.30127887057834496,0.20811605332212424,1.1692728781430415,3.2338960912888015,0.06796402239594036,2,-26.714877097521224,61.42975419504245,64.99124122662711,20.50798595341368,15,18,Min Phosphate,6.309991479321681
sal_CV,(Intercept),1.331023164407994,1.0928541914432113,1.2179329821211184,0.2409060923783489,0.04332224228458641,-0.016470117572626952,1.2177343149516289,0.7245447811065114,0.40721663911031136,1,-28.026702515632877,62.053405031265754,64.72452030495424,23.726029788971402,16,18,Salinity CV,6.4101087196149535
sal_CV,Predictor_Values,14890.476249596235,17493.470297456344,0.851201962583799,0.4072166391103115,0.04332224228458641,-0.016470117572626952,1.2177343149516289,0.7245447811065114,0.40721663911031136,1,-28.026702515632877,62.053405031265754,64.72452030495424,23.726029788971402,16,18,Salinity CV,6.4101087196149535
pH_avg,(Intercept),2.228606748908623,0.2763773786833645,8.063636609933466,7.809314649144097e-7,0.16840981161691046,0.05753111983249859,1.1725699118014161,1.518865427672611,0.25079575113431524,2,-26.765560811489074,61.53112162297815,65.09260865456281,20.623802970929713,15,18,pH_avg,6.41135890725738
pH_avg,"poly(Predictor_Values, degree = 2)1",-1.8290203547248174,1.1725699118014161,-1.5598390648749447,0.13964408669715375,0.16840981161691046,0.05753111983249859,1.1725699118014161,1.518865427672611,0.25079575113431524,2,-26.765560811489074,61.53112162297815,65.09260865456281,20.623802970929713,15,18,pH_avg,6.41135890725738
pH_avg,"poly(Predictor_Values, degree = 2)2",-0.9117686391253792,1.1725699118014166,-0.7775814729243999,0.44890678632724923,0.16840981161691046,0.05753111983249859,1.1725699118014161,1.518865427672611,0.25079575113431524,2,-26.765560811489074,61.53112162297815,65.09260865456281,20.623802970929713,15,18,pH_avg,6.41135890725738
