Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
sal_CV,Predictor_Values,-230521.11965056922,319434.50586008007,-0.7216537832376286,0.4754412739872981,0.01508610523163434,-0.013881950496846818,36.58267332942265,0.5207841828611821,0.4754412739872981,1,-179.63762573879822,365.27525147759644,370.02580829296477,45501.92758952653,34,36
temp_CV,(Intercept),37.088360170403966,25.048192641936197,1.4806800913974876,0.147899999873612,0.0045109311107352215,-0.02476815915071362,36.778545889641016,0.1540666417724956,0.69712902934859855,1,-179.82986433567388,365.65972867134775,370.4102854867161,45990.488883718615,34,36
temp_CV,Predictor_Values,-29819.07411286415,75969.6011460079,-0.392513237703514,0.697129029348599,0.0045109311107352215,-0.02476815915071362,36.778545889641016,0.1540666417724956,0.69712902934859855,1,-179.82986433567388,365.65972867134775,370.4102854867161,45990.488883718615,34,36
TA_CV,(Intercept),25.32700702802056,13.429618513281214,1.885906662424806,0.06787441072668475,0.0010229439374728974,-0.028358734182013068,36.8429217463984,0.034815708391906834,0.853091266046158,1,-179.8928223697459,365.7856447394918,370.5362015548601,46151.63001558203,34,36
TA_CV,Predictor_Values,20963.329611419318,112349.88826234346,0.1865896792212978,0.8530912660461581,0.0010229439374728974,-0.028358734182013068,36.8429217463984,0.034815708391906834,0.853091266046158,1,-179.8928223697459,365.7856447394918,370.5362015548601,46151.63001558203,34,36
pH_CV,(Intercept),46.11884818647956,23.357665077837503,1.9744631166168485,0.056496509047733005,0.019539224759232178,-0.009297856865496223,36.499878491039524,0.6775728908183567,0.41616016028379454,1,-179.55605728277953,365.11211456555907,369.8626713809274,45296.19841526209,34,36
pH_CV,Predictor_Values,-244072.43937751197,296510.94625119015,-0.8231481584856745,0.41616016028379454,0.019539224759232178,-0.009297856865496223,36.499878491039524,0.6775728908183567,0.41616016028379454,1,-179.55605728277953,365.11211456555907,369.8626713809274,45296.19841526209,34,36
phos_CV,(Intercept),11.83808598935192,24.31357056971941,0.4868921228745934,0.629370160102066,0.014981690963535146,-0.013161689294649337,37.4311373427721,0.5323344540028428,0.470482139002401,1,-185.50529105288456,377.0105821057691,381.84333584370177,49038.151497071376,35,37
phos_CV,Predictor_Values,9020.9618453179,12364.04446068917,0.7296125369008154,0.47048213900240066,0.014981690963535146,-0.013161689294649337,37.4311373427721,0.5323344540028428,0.470482139002401,1,-185.50529105288456,377.0105821057691,381.84333584370177,49038.151497071376,35,37
NN_CV,(Intercept),13.197524011914606,16.27922233973445,0.8106974483481308,0.42301796626555455,0.030377369145722585,0.0026738654070289636,37.13746397005487,1.0965172287321312,0.30220958373899376,1,-185.21385549482852,376.42771098965704,381.2604647275897,48271.69305444933,35,37
NN_CV,Predictor_Values,3192.585182994361,3048.8409139451824,1.0471471858015622,0.3022095837389936,0.030377369145722585,0.0026738654070289636,37.13746397005487,1.0965172287321312,0.30220958373899376,1,-185.21385549482852,376.42771098965704,381.2604647275897,48271.69305444933,35,37
silicate_CV,(Intercept),10.798944558046285,13.960449361983,0.7735384641309538,0.4443972507128269,0.05631276794098073,0.029350275596437436,36.63742238314192,2.0885594410702595,0.15730058682977932,1,-184.71228042067781,375.42456084135563,380.2573145792883,46980.5251608262,35,37
silicate_CV,Predictor_Values,3408.157162104038,2358.284482953155,1.4451849158741794,0.15730058682977938,0.05631276794098073,0.029350275596437436,36.63742238314192,2.0885594410702595,0.15730058682977932,1,-184.71228042067781,375.42456084135563,380.2573145792883,46980.5251608262,35,37
ammonia_CV,(Intercept),33.529322185398726,13.563153217567951,2.4720890229249335,0.01844004607980161,0.004007600723795119,-0.02444932496981056,37.63906997695977,0.1408304174155963,0.7097215529108946,1,-185.71025990576646,377.4205198115329,382.2532735494656,49584.48560556659,35,37
ammonia_CV,Predictor_Values,-570.8388330582962,1521.126303945294,-0.37527378993955385,0.7097215529108944,0.004007600723795119,-0.02444932496981056,37.63906997695977,0.1408304174155963,0.7097215529108946,1,-185.71025990576646,377.4205198115329,382.2532735494656,49584.48560556659,35,37
