Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
silicate_avg,Predictor_Values,0.3424979746881911,0.2592991336046592,1.3208604669323003,0.20512900061417574,0.09832091212622175,0.04196596913411055,1.2861024772666185,1.7446723731046134,0.20512900061417588,1,-29.009939847292802,64.0198796945856,66.6909949682741,26.464953312501333,16,18
ammonia_avg,(Intercept),2.2211769967561525,1.807620840781074,1.228784790839422,0.23691975293114415,2.0337316154158406e-4,-0.06228391601586214,1.3542704727744825,0.0032546324895644037,0.9552122385358397,1,-29.93957870839781,65.87915741679562,68.55027269048412,29.344776214861128,16,18
ammonia_avg,Predictor_Values,0.2942393047196771,5.157624353990059,0.057049386408307666,0.9552122385358397,2.0337316154158406e-4,-0.06228391601586214,1.3542704727744825,0.0032546324895644037,0.9552122385358397,1,-29.93957870839781,65.87915741679562,68.55027269048412,29.344776214861128,16,18
sal_max,(Intercept),131.0698070858328,179.09897011437704,0.7318289267779059,0.4748566020536398,0.031331394064189465,-0.029210393806798685,1.2253419957956815,0.5175168287225885,0.48227903065767963,1,-28.138806011717858,62.277612023435715,64.94872729712421,24.023408106568702,16,18
sal_max,Predictor_Values,-3.5200376511211147,4.893111028994807,-0.7193864251725833,0.4822790306576794,0.031331394064189465,-0.029210393806798685,1.2253419957956815,0.5175168287225885,0.48227903065767963,1,-28.138806011717858,62.277612023435715,64.94872729712421,24.023408106568702,16,18
temp_max,(Intercept),-17.167875841509783,10.13592228682114,-1.6937655356564525,0.10968405221067105,0.18635137966585655,0.1354983408949726,1.123021710064247,3.66450824119782,0.07364098840257387,1,-26.56926041668506,59.13852083337012,61.809636107058616,20.17884418041001,16,18
temp_max,Predictor_Values,0.6580283588290762,0.3437452924741162,1.9142905320765236,0.07364098840257391,0.18635137966585655,0.1354983408949726,1.123021710064247,3.66450824119782,0.07364098840257387,1,-26.56926041668506,59.13852083337012,61.809636107058616,20.17884418041001,16,18
TA_max,(Intercept),-15.69798809151493,54.09399571451755,-0.2901983461225801,0.7753918956015271,0.006817408087533876,-0.055256503906995214,1.2407499183134092,0.1098272666967522,0.7446418615922462,1,-28.36373373045773,62.72746746091546,65.39858273460396,24.631365756715702,16,18
TA_max,Predictor_Values,0.007626281470353015,0.023012178945214488,0.33140197147384615,0.7446418615922465,0.006817408087533876,-0.055256503906995214,1.2407499183134092,0.1098272666967522,0.7446418615922462,1,-28.36373373045773,62.72746746091546,65.39858273460396,24.631365756715702,16,18
pH_max,(Intercept),109.69786924843032,165.15256007445115,0.664221427745221,0.5160074190796895,0.025783088199659628,-0.035105468787861804,1.2288462204423718,0.42344718737452935,0.5244575355632223,1,-28.19020882270764,62.38041764541528,65.05153291910378,24.161008535928033,16,18
pH_max,Predictor_Values,-13.323744255656433,20.475129710517823,-0.6507281977711813,0.5244575355632222,0.025783088199659628,-0.035105468787861804,1.2288462204423718,0.42344718737452935,0.5244575355632223,1,-28.19020882270764,62.38041764541528,65.05153291910378,24.161008535928033,16,18
phos_max,(Intercept),5.7181233780594365,3.3638364126350404,1.699881527110345,0.10850703172762521,0.06034780267779355,0.0016195403451555457,1.3129045181100725,1.0275768476850642,0.32581335865434946,1,-29.381199977687093,64.76239995537418,67.43351522906268,27.579492378781463,16,18
phos_max,Predictor_Values,-13.779467043231449,13.593311373163266,-1.013694652094537,0.32581335865434946,0.06034780267779355,0.0016195403451555457,1.3129045181100725,1.0275768476850642,0.32581335865434946,1,-29.381199977687093,64.76239995537418,67.43351522906268,27.579492378781463,16,18
